user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision
Can unused annual leave days be carried forward?,['Yes. A limited number of unused annual leave days can be carried forward according to company policy.'],"Yes, you can roll over a restricted volume of unused time off to the subsequent year based on corporate policy.",Yes. A limited number of unused annual leave days can be carried forward according to company policy.,,0.7018165905607324,
Do unused vacation days expire at the end of the year?,['Yes. A limited number of unused annual leave days can be carried forward according to company policy.'],Not all of them. A limited amount can be carried over in accordance with internal regulations.,A limited number of unused annual leave days can be carried forward according to company policy.,,0.4946514872092344,
Is it possible to roll over remaining holiday allocations?,['Yes. A limited number of unused annual leave days can be carried forward according to company policy.'],"Yes, partial carryover of unused vacation days is allowed via company guidelines.",A limited number of unused annual leave days can be carried forward according to company policy.,,0.6328570382226736,0.0
Which programming languages are used?,"['We mainly use Python, Java, TypeScript, and Go for software development.']","The engineering ecosystem relies primarily on Python, Java, TypeScript, and Go.","We mainly use Python, Java, TypeScript, and Go for software development.",,,0.0
Is Go language used in software development?,"['We mainly use Python, Java, TypeScript, and Go for software development.']","Yes, Go is one of the core programming languages utilized alongside Python, Java, and TypeScript.","We mainly use Python, Java, TypeScript, and Go for software development.",,,0.0
What stack do software engineers use for programming?,"['We mainly use Python, Java, TypeScript, and Go for software development.']","The development teams primarily code in Python, Java, TypeScript, and Go.","Python, Java, TypeScript, and Go",1.0,,0.0
Which technologies are used for AI development?,"['Our AI teams mainly use Python, Machine Learning frameworks, Large Language Models, vector databases, and cloud AI services.']","The artificial intelligence systems leverage Python, Machine Learning libraries, vector repositories, LLMs, and cloud-hosted AI utilities.","Our AI teams mainly use Python, Machine Learning frameworks, Large Language Models, vector databases, and cloud AI services.",1.0,0.721273459553844,
Do the AI teams use vector databases?,"['Our AI teams mainly use Python, Machine Learning frameworks, Large Language Models, vector databases, and cloud AI services.']","Yes, vector databases are standard tools utilized within the AI department.","Our AI teams mainly use Python, Machine Learning frameworks, Large Language Models, vector databases, and cloud AI services.",,0.7958321292649257,
What frameworks are used by the AI department?,"['Our AI teams mainly use Python, Machine Learning frameworks, Large Language Models, vector databases, and cloud AI services.']",They work extensively with Machine Learning frameworks and Large Language Models.,"Python, Machine Learning frameworks, Large Language Models, vector databases, and cloud AI services.",1.0,0.5404788738491618,
Does the company provide training programs?,"['Does the company provide training programs? A: Yes. The company provides technical training programs, mentorship, and opportunities to learn new technologies.']","Yes, employees have access to structured technical courses, peer mentoring, and avenues to upskill in emerging technologies.","Yes. The company provides technical training programs, mentorship, and opportunities to learn new technologies.",,0.5615476175405926,
Are there mentorship opportunities?,"['Yes. The company provides technical training programs, mentorship, and opportunities to learn new technologies.']","Yes, professional mentorship is provided as part of the corporate internal training initiatives.","The company provides technical training programs, mentorship, and opportunities to learn new technologies.",,,0.9999999999
Can I learn new technologies at the company?,"['Yes. The company provides technical training programs, mentorship, and opportunities to learn new technologies.']","Yes, the company supports learning modern tools through specialized technical learning paths.",opportunities to learn new technologies.,,0.7296596960698812,0.0
What departments are available in the company?,"['The company has Software Engineering, Artificial Intelligence, DevOps, Quality Assurance, UI/UX, Product Management, and Customer Support departments.']","The organization features branches including Software Engineering, AI, DevOps, Quality Assurance, UI/UX, Product Management, and Support.","The company has Software Engineering, Artificial Intelligence, DevOps, Quality Assurance, UI/UX, Product Management, and Customer Support departments.",0.7142857142857143,0.6724616138077938,
Is there a Product Management department?,"['The company has Software Engineering, Artificial Intelligence, DevOps, Quality Assurance, UI/UX, Product Management, and Customer Support departments.']","Yes, Product Management operates alongside other tracks like Software Engineering and QA.","The company has Software Engineering, Artificial Intelligence, DevOps, Quality Assurance, UI/UX, Product Management, and Customer Support departments.",,0.690616288460859,
How many business departments exist at the firm?,"['The company has Software Engineering, Artificial Intelligence, DevOps, Quality Assurance, UI/UX, Product Management, and Customer Support departments.']","There are distinct divisions like Software Engineering, AI, DevOps, QA, UI/UX, Product Management, and Support.","Software Engineering, Artificial Intelligence, DevOps, Quality Assurance, UI/UX, Product Management, and Customer Support",,0.0,
Is Python used for software engineering?,"['We mainly use Python, Java, TypeScript, and Go for software development.']","Yes, Python is heavily incorporated across development projects.","We mainly use Python, Java, TypeScript, and Go for software development.",,,0.0
What is the location of the main corporate headquarters?,"['Our headquarters is located in Colombo, Sri Lanka.']","The focal office structure is stationed inside Colombo, Sri Lanka.","Our headquarters is located in Colombo, Sri Lanka.",0.0,,
Does the engineering team build with Java?,"['We mainly use Python, Java, TypeScript, and Go for software development.']","Yes, Java is counted among the main core engineering languages.","We mainly use Python, Java, TypeScript, and Go for software development.",,,0.0
What cloud systems are used by AI teams?,"['Our AI teams mainly use Python, Machine Learning frameworks, Large Language Models, vector databases, and cloud AI services.']",The artificial intelligence wing relies on standard cloud AI services.,"Our AI teams mainly use Python, Machine Learning frameworks, Large Language Models, vector databases, and cloud AI services.",1.0,0.6257478803950794,
Are there QA internships available?,"['We offer internships in Software Engineering, Artificial Intelligence, DevOps, Quality Assurance, and UI/UX design.']","Yes, Quality Assurance is explicitly listed among the targeted internship opportunities.","We offer internships in Software Engineering, Artificial Intelligence, DevOps, Quality Assurance, and UI/UX design.",,0.7347130252337969,
